"source_external_id","name","district","address","latitude","longitude","opening_hours","area_sqm","website","image_url"
"H0017","Boulderplanet","Köln","Oskar-Jäger-Str. 143h, 50825 Köln","50.9451021620992","6.90500540734446","","","https://boulderplanet.de/",""
"H0018","Boulderwelt Dortmund","Dortmund","Brennaborstr. 10, 44149 Dortmund","51.4947525354858","7.37775215118357","","","https://www.boulderwelt-dortmund.de/",""
"H0019","Boulderwelt Frankfurt","Frankfurt am Main","August-Schanz-Straße 50, 60433 Frankfurt am Main","50.164146545487","8.68486914990222","","","http://www.boulderwelt-frankfurt.de/",""
"H0020","Bremerhaven Boulder Club","Bremerhaven","Moltkestraße 13, 27576 Bremerhaven","53.5545237882837","8.57824438104969","","","http://www.bremerhaven-boulderclub.de/",""
"H0021","Café Kraft","Nürnberg","Gebertstrasse 9, 90411 Nürnberg","49.4800572398869","11.1226885505573","","","https://cafekraft.de/",""
"H0022","Campus Boulderhalle","Aachen","Tempelhofer Straße 16, 52068 Aachen","50.7843745963568","6.13020670744533","","","https://campusboulderhalle.de/",""
"H0023","DAV Boulderzentrum Erlangen","Erlangen","Helene-Richter-Straße 5, 91054 Erlangen","49.5929271801364","11.0307537354179","","","https://www.alpenverein-erlangen.de/kletteranlagen/dav-boulderzentrum-erlangen/",""
"H0024","DAV Kletter- und Boulderzentrum München Nord","München","Werner-Heisenberg-Allee 5, 80939 München","48.206942195293","11.6180341108648","","","https://www.kbfreimann.de/",""
"H0025","DAV Kletter- und Boulderzentrum Thalkirchen","München","Thalkirchner Straße 207, 81379 München","48.1070905238249","11.5458362934152","","","https://www.kbthalkirchen.de/",""
"H0026","DAV Kletter- und Boulderzentrum Bad Tölz","Bad Tölz","Am Sportpark 5, 83646 Bad Tölz","47.7594822896929","11.5790057511678","","","https://www.kletterzentrum-badtoelz.de/",""
"H0027","DAV Kletter- und Boulderzentrum Gilching","Gilching","Frühlingstraße 18, 82205 Gilching","48.1014287355636","11.3010715500218","","","https://www.kbgilching.de/",""
"H0028","DAV Kletterzentrum Augsburg","Augsburg","Ilsungstraße 15b, 86161 Augsburg","48.3404862365341","10.9103030207977","","","https://www.dav-kletterzentrum-augsburg.de/",""
"H0029","DAV Kletterzentrum Hamburg","Hamburg","Döhrnstraße 4, 22529 Hamburg","53.5976081496678","9.95322701578647","","","https://www.dav-hamburg.de/kletterzentrum",""
"H0030","Der Kegel","Berlin","Revaler Str. 99, 10245 Berlin","52.5072883388332","13.4545076239344","","","http://www.derkegel.de/",""
"H0031","der steinbock Erlangen","Erlangen","Bierlachweg 45, 91058 Erlangen","49.5745326727588","10.9973588243424","","","http://www.dersteinbock-erlangen.de/",""
"H0032","der steinbock Nürnberg","Nürnberg","Leyher Straße 54, 90431 Nürnberg","49.4511124565521","11.0290818733661","","","http://www.dersteinbock-nuernberg.de/",""
"H0033","der steinbock Zirndorf","Zirndorf","Steinweg 9, 90513 Zirndorf","49.4428957606525","10.959839009138","","","https://www.dersteinbock-zirndorf.de/",""
"H0034","Die Kletterei","Kaufering","Viktor-Frankl-Str. 5a, 86916 Kaufering","48.0802678036043","10.8561818211199","","","https://die-kletterei.de/",""
"H0035","E4 Boulderhalle Nürnberg","Nürnberg","Allersberger Str. 185E, 90461 Nürnberg","49.4346173950468","11.0971595505519","","","https://www.boulderhalle-e4.de/",""
"H0036","einstein Boulderhalle Düsseldorf","Düsseldorf","Lierenfelder Strasse 49, 40231 Düsseldorf","51.2130145193188","6.82163354852833","","","http://duesseldorf.einstein-boulder.com/",""
"H0037","Einstein Boulderhalle Köln","Köln","Widdersdorfer Str. 205, 50825 Köln","50.9450346530001","6.90257019951186","","","https://einstein-boulder-koeln.de/",""
"H0038","einstein boulderhalle München","München","Landsberger Str. 185, 80687 München","48.1407599301769","11.5228210645232","","","http://muenchen.einstein-boulder.com/",""
"H0039","Einstein Boulderhalle Neu-Ulm","Neu-Ulm","Leibnitzstrasse 12, 89321 Neu-Ulm","48.3899302835853","10.0294376074893","","","https://neu-ulm.einstein-boulder.com/",""
"H0040","einstein Boulderhalle Recklinghausen","Recklinghausen","Walkmühlenweg 55, 45661 Recklinghausen","51.581781500926","7.20807295020768","","","http://recklinghausen.einstein-boulder.com/",""
"H0041","Element Boulders Kassel","Kassel","Untere Königsstraße 95, 34117 Kassel","51.3199518240037","9.50065993783236","","","https://kassel.element-boulders.de/start.html",""
"H0042","Element Boulders Essen","Essen","Haedenkampstr. 73, 45143 Essen","51.4553595535292","6.98549066220189","","","https://essen.element-boulders.de/",""
"H0043","Element Boulders Köln City","Köln","Schildergasse 70, 50667 Köln","50.9367516047292","6.95301494887552","","","https://koeln.element-boulders.de/start.html",""
"H0044","Element Boulders München","München","Zielstattstraße 23, 81379 München","48.1021861284547","11.5328781991167","","","https://muenchen.element-boulders.de/start.html",""
"H0045","Felswerk Klettern & Bouldern","Landau in der Pfalz","Albert-Einstein-Straße 6, 76829 Landau in der Pfalz","49.188216875455","8.132893146469","","","https://felswerk-landau.de/",""
"H0046","FLASHH Hamburg","Hamburg","Gasstraße 18, 22761 Hamburg","53.5632335780604","9.91319462445026","","","https://flashh.de/",""
"H0047","Frankenjura Academy","Forchheim","Trettlachstraße 3, 91301 Forchheim","49.7145151111989","11.0940241669283","","","http://www.frankenjura-academy.com/",""
"H0048","Freiraum Basecamp","Andernach","Stadionstraße 77, 56626 Andernach","50.4271425810155","7.42293986627226","","","https://www.freiraum-basecamp.de/",""
"H0049","GriffReich","Hannover","Peiner Straße 28, 30519 Hannover","52.3389649156066","9.7736631349461","","","http://www.griffreich.de/",""
"H0050","HAPIK Bochum","Bochum","Isenbrockstraße 15, 44867 Bochum","51.4682071833796","7.13653607668379","","","https://hapik.de/standorte/bochum?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website",""
"H0051","HAPIK Frankfurt","Karben","Am Häuserbach 2, 61184 Karben","50.2425821272393","8.74894326812966","","","https://hapik.de/standorte/frankfurt?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website",""
"H0052","HAPIK Mainz","Mainz","Athener Allee 10, 55129 Mainz","49.9497330156376","8.26476182025554","","","https://hapik.de/standorte/mainz?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website",""
"H0053","HAPIK Mülheim","Mülheim an der Ruhr","Sandstraße 77, 45473 Mülheim an der Ruhr","51.4357868086422","6.88046049376408","","","https://hapik.de/standorte/mulheim-an-der-ruhr?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website",""
"H0054","High-east Kletterhalle","Heimstetten","Sonnenallee 2, 85551 Heimstetten","48.523587123479","11.6277208843345","","","https://high-east.de/",""
"H0055","Höhenrausch","Stadthagen","Pillauer Str. 10, 31655 Stadthagen","52.3244821770823","9.19150845635022","","","http://www.hoehenrausch-stadthagen.de/",""
"H0056","K11 Boulderhalle","Köln","Kyllstr. 11, 50678 Köln","50.9156701485392","6.96393169330945","","","http://www.k11-koeln.de/",""
"H0057","Kletter & Boulderhalle Rosenheim","Stephanskirchen","Finsterwalderstraße 4, 83071 Stephanskirchen","47.8475007449698","12.1654441260512","","","http://www.kletterhalle-rosenheim.de/",""
"H0058","Kletter- und Boulderzentrum Weyarn","Weyarn","Am Weiglfeld 30, 83629 Weyarn","47.8657235028111","11.7897777459836","","","http://www.kletterz.de/",""
